order_id,customer_id,product_id,quantity,discounted_price,revenue,order_date,,,,
1,2092,632,5,33585.64,167928.18,25-06-2023,,,,
2,5032,490,1,8102.16,8102.16,01-01-2023,,,,
3,3988,783,2,7201.92,14403.84,09-11-2023,,,,
4,3627,419,5,5202.68,26013.38,07-10-2023,,,,
5,1047,724,2,854.64,1709.28,20-01-2023,,,,
6,2840,460,5,9044.19,45220.95,16-12-2023,,,,
7,1373,244,3,9002.40,27007.20,27-10-2023,,,,
8,3238,212,5,5633.60,28167.98,16-05-2023,,,,
9,1182,621,5,1298.94,6494.67,15-05-2023,,,,
10,2848,447,1,34924.00,34924.00,29-03-2023,,,,
11,4107,789,3,14750.40,44251.20,03-07-2023,,,,
12,3912,490,1,5758.50,5758.50,16-10-2023,,,,
13,4578,739,2,44277.03,88554.06,06-04-2023,,,,
14,3191,410,5,60058.75,300293.75,06-06-2023,,,,
15,4232,748,1,42042.25,42042.25,20-08-2023,,,,
16,1559,661,5,3760.80,18804.00,11-03-2023,,,,
17,4645,278,2,4231.68,8463.36,31-07-2023,,,,
18,2743,606,5,35085.96,175429.80,31-12-2023,,,,
19,4943,447,5,2968.56,14842.80,04-07-2023,,,,
20,1908,288,3,3480.80,10442.40,06-01-2023,,,,
21,5910,465,2,8552.28,17104.56,02-04-2023,,,,
22,4211,236,5,15045.45,75227.25,13-06-2023,,,,
23,5815,643,4,20302.88,81211.50,26-08-2023,,,,
24,5826,537,1,4052.80,4052.80,23-03-2023,,,,
25,1944,658,2,6841.20,13682.40,23-07-2023,,,,
26,3377,241,5,44791.70,223958.48,10-06-2023,,,,
27,3412,493,4,2533.65,10134.60,20-10-2023,,,,
28,3890,395,3,79056.72,237170.16,10-11-2023,,,,
29,2556,677,3,4104.00,12312.00,05-01-2023,,,,
30,3274,319,3,2937.60,8812.80,01-02-2023,,,,
31,1834,293,1,1249.87,1249.87,29-04-2023,,,,
32,3814,374,3,2667.60,8002.80,26-12-2023,,,,
33,5651,546,5,53868.60,269343.00,09-03-2023,,,,
34,3628,613,3,2629.22,7887.66,14-05-2023,,,,
35,2798,458,4,1770.89,7083.56,31-05-2023,,,,
36,4767,548,5,1163.48,5817.40,15-01-2023,,,,
37,2843,581,3,60787.20,182361.60,27-07-2023,,,,
38,4927,448,2,1662.72,3325.44,28-01-2023,,,,
